itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,SP,SD,ST,XX
402,MDS,,,41100,M1200E,ULCR_CARE_CD,Skin/ulcer/injry treat: prssr ulcer/injry care,14,M,Asmt,,Checklist,41100,952,952,952-952,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
403,MDS,,,41200,M1200F,SRGCL_WND_CARE_CD,Skin/ulcer/injry treat: surgical wound care,14,M,Asmt,,Checklist,41200,953,953,953-953,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
404,MDS,,,41300,M1200G,APLCTN_DRSNG_CD,Skin/ulcer/injry treat: application of dressings,14,M,Asmt,,Checklist,41300,954,954,954-954,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
405,MDS,,,41400,M1200H,APLCTN_ONTMNT_CD,Skin/ulcer/injry treat: apply ointments/meds,14,M,Asmt,,Checklist,41400,955,955,955-955,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
406,MDS,,,41500,M1200I,APLCTN_DRSNG_FOOT_CD,Skin/ulcer/injry treat: apply dressings to feet,14,M,Asmt,,Checklist,41500,956,956,956-956,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
407,MDS,,,41600,M1200Z,NO_SKIN_TRMNT_CD,Skin/ulcer/injry treat: none of the above,14,M,Asmt,,Checklist,41600,957,957,957-957,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
408,MDS,,,41700,N0300,INJCT_MDCTN_DAY_NUM,Number of days injectable medications received,15,N,Asmt,,Number,41700,958,958,958-958,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
409,MDS,,,70080,ITEM_FILLER_009,ANTIPSYCHTC_RCVD_CD,Item filler: replaces old N0400A,28,Filler,Filler,,Text,41800,961,961,961-961,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
410,MDS,,,70090,ITEM_FILLER_010,ANTINXTY_CD,Item filler: replaces old N0400B,28,Filler,Filler,,Text,41900,962,962,962-962,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
411,MDS,,,70100,ITEM_FILLER_011,ANTIDPRSNT_CD,Item filler: replaces old N0400C,28,Filler,Filler,,Text,42000,963,963,963-963,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
412,MDS,,,70110,ITEM_FILLER_012,HPNTC_CD,Item filler: replaces old N0400D,28,Filler,Filler,,Text,42100,964,964,964-964,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
413,MDS,,,70120,ITEM_FILLER_013,ANTICOAGLNT_CD,Item filler: replaces old N0400E,28,Filler,Filler,,Text,42200,965,965,965-965,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
414,MDS,,,70150,ITEM_FILLER_016,NO_MDCTN_RCVD_CD,Item filler: replaces old N0400Z,28,Filler,Filler,,Text,42300,968,968,968-968,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
415,MDS,,,70471,ITEM_FILLER_149,CHMTHRPY_PRIOR_CD,Item filler: replaces old O0100A1,28,Filler,Filler,,Text,42400,969,969,969-969,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
416,MDS,,,70472,ITEM_FILLER_150,CHMTHRPY_POST_CD,Item filler: replaces old O0100A2,28,Filler,Filler,,Text,42500,970,970,970-970,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
417,MDS,,,70473,ITEM_FILLER_151,RDTN_PRIOR_CD,Item filler: replaces old O0100B1,28,Filler,Filler,,Text,42600,971,971,971-971,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
418,MDS,,,70474,ITEM_FILLER_152,RDTN_POST_CD,Item filler: replaces old O0100B2,28,Filler,Filler,,Text,42700,972,972,972-972,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
419,MDS,,,70475,ITEM_FILLER_153,OXGN_PRIOR_CD,Item filler: replaces old O0100C1,28,Filler,Filler,,Text,42800,973,973,973-973,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
420,MDS,,,70476,ITEM_FILLER_154,OXGN_POST_CD,Item filler: replaces old O0100C2,28,Filler,Filler,,Text,42900,974,974,974-974,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
421,MDS,,,70477,ITEM_FILLER_155,SCTNG_PRIOR_CD,Item filler: replaces old O0100D1,28,Filler,Filler,,Text,43000,975,975,975-975,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
422,MDS,,,70478,ITEM_FILLER_156,SCTNG_POST_CD,Item filler: replaces old O0100D2,28,Filler,Filler,,Text,43100,976,976,976-976,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
423,MDS,,,70479,ITEM_FILLER_157,TRCHOSTMY_PRIOR_CD,Item filler: replaces old O0100E1,28,Filler,Filler,,Text,43200,977,977,977-977,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
424,MDS,,,70480,ITEM_FILLER_158,TRCHOSTMY_POST_CD,Item filler: replaces old O0100E2,28,Filler,Filler,,Text,43300,978,978,978-978,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
425,MDS,,,70481,ITEM_FILLER_159,VNTLTR_PRIOR_CD,Item filler: replaces old O0100F1,28,Filler,Filler,,Text,43400,979,979,979-979,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
426,MDS,,,70482,ITEM_FILLER_160,VNTLTR_POST_CD,Item filler: replaces old O0100F2,28,Filler,Filler,,Text,43500,980,980,980-980,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
427,MDS,,,70483,ITEM_FILLER_161,CPAP_PRIOR_CD,Item filler: replaces old O0100G1,28,Filler,Filler,,Text,43600,981,981,981-981,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
428,MDS,,,70484,ITEM_FILLER_162,CPAP_POST_CD,Item filler: replaces old O0100G2,28,Filler,Filler,,Text,43700,982,982,982-982,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
429,MDS,,,70485,ITEM_FILLER_163,IV_MDCTN_PRIOR_CD,Item filler: replaces old O0100H1,28,Filler,Filler,,Text,43800,983,983,983-983,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
430,MDS,,,70486,ITEM_FILLER_164,IV_MDCTN_POST_CD,Item filler: replaces old O0100H2,28,Filler,Filler,,Text,43900,984,984,984-984,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
431,MDS,,,70487,ITEM_FILLER_165,TRNSFSN_PRIOR_CD,Item filler: replaces old O0100I1,28,Filler,Filler,,Text,44000,985,985,985-985,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
432,MDS,,,70488,ITEM_FILLER_166,TRNSFSN_POST_CD,Item filler: replaces old O0100I2,28,Filler,Filler,,Text,44100,986,986,986-986,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
433,MDS,,,70489,ITEM_FILLER_167,DLYS_PRIOR_CD,Item filler: replaces old O0100J1,28,Filler,Filler,,Text,44200,987,987,987-987,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
434,MDS,,,70490,ITEM_FILLER_168,DLYS_POST_CD,Item filler: replaces old O0100J2,28,Filler,Filler,,Text,44300,988,988,988-988,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
435,MDS,,,70491,ITEM_FILLER_169,HOSPC_PRIOR_CD,Item filler: replaces old O0100K1,28,Filler,Filler,,Text,44400,989,989,989-989,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
436,MDS,,,70492,ITEM_FILLER_170,HOSPC_POST_CD,Item filler: replaces old O0100K2,28,Filler,Filler,,Text,44500,990,990,990-990,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
438,MDS,,,70366,ITEM_FILLER_053,RESP_POST_CD,Item filler: replaces old O0100L2,28,Filler,Filler,,Text,44700,991,991,991-991,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
439,MDS,,,70493,ITEM_FILLER_171,ISLTN_PRIOR_CD,Item filler: replaces old O0100M1,28,Filler,Filler,,Text,44800,992,992,992-992,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
440,MDS,,,70494,ITEM_FILLER_172,ISLTN_POST_CD,Item filler: replaces old O0100M2,28,Filler,Filler,,Text,44900,993,993,993-993,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
441,MDS,,,45128,O0250A,INFLNZ_RCVD_CD,Was influenza vaccine received,16,O,Asmt,,Code,45000,996,996,996-996,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
442,MDS,,,45132,O0250C,RSN_INFLNZ_NOT_RCV_CD,"If influenza vaccine not received, state reason",16,O,Asmt,,Code,45100,1005,1005,1005-1005,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
443,MDS,,,45200,O0300A,PPV_CD,Is pneumococcal vaccination up to date,16,O,Asmt,,Code,45200,1006,1006,1006-1006,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
444,MDS,,,45300,O0300B,RSN_PPV_NOT_RCVD_CD,"If pneumococcal vacc not received, state reason",16,O,Asmt,,Code,45300,1007,1007,1007-1007,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
445,MDS,,,70810,ITEM_FILLER_217,SPCH_THRPY_DAY_NUM,Item filler: replaces old O0400A4,28,Filler,Filler,,Text,45500,1020,1020,1020-1020,1,[V3.10.0]-New filler item to replace O0400A4,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
446,MDS,,,70770,ITEM_FILLER_213,SPCH_THRPY_IND_MIN_NUM,Item filler: replaces old O0400A1,28,Filler,Filler,,Text,45400,1008,1011,1008-1011,4,[V3.10.0]-New filler item to replace O0400A1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
447,MDS,,,70820,ITEM_FILLER_218,SPCH_THRPY_STRT_DT,Item filler: replaces old O0400A5,28,Filler,Filler,,Text,45600,1021,1028,1021-1028,8,[V3.10.0]-New filler item to replace O0400A5,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
448,MDS,,,70830,ITEM_FILLER_219,SPCH_THRPY_END_DT,Item filler: replaces old O0400A6,28,Filler,Filler,,Text,45700,1029,1036,1029-1036,8,[V3.10.0]-New filler item to replace O0400A6,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
449,MDS,,,70880,ITEM_FILLER_224,OT_DAY_NUM,Item filler: replaces old O0400B4,28,Filler,Filler,,Text,45900,1049,1049,1049-1049,1,[V3.10.0]-New filler item to replace O0400B4,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
450,MDS,,,70840,ITEM_FILLER_220,OT_INDVDL_MIN_NUM,Item filler: replaces old O0400B1,28,Filler,Filler,,Text,45800,1037,1040,1037-1040,4,[V3.10.0]-New filler item to replace O0400B1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
451,MDS,,,70890,ITEM_FILLER_225,OT_STRT_DT,Item filler: replaces old O0400B5,28,Filler,Filler,,Text,46000,1050,1057,1050-1057,8,[V3.10.0]-New filler item to replace O0400B5,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
452,MDS,,,70900,ITEM_FILLER_226,OT_END_DT,Item filler: replaces old O0400B6,28,Filler,Filler,,Text,46100,1058,1065,1058-1065,8,[V3.10.0]-New filler item to replace O0400B6,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
453,MDS,,,70950,ITEM_FILLER_231,PT_DAY_NUM,Item filler: replaces old O0400C4,28,Filler,Filler,,Text,46300,1078,1078,1078-1078,1,[V3.10.0]-New filler item to replace O0400C4,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
454,MDS,,,70910,ITEM_FILLER_227,PT_INDVDL_MIN_NUM,Item filler: replaces old O0400C1,28,Filler,Filler,,Text,46200,1066,1069,1066-1069,4,[V3.10.0]-New filler item to replace O0400C1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
455,MDS,,,70960,ITEM_FILLER_232,PT_STRT_DT,Item filler: replaces old O0400C5,28,Filler,Filler,,Text,46400,1079,1086,1079-1086,8,[V3.10.0]-New filler item to replace O0400C5,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
456,MDS,,,70970,ITEM_FILLER_233,PT_END_DT,Item filler: replaces old O0400C6,28,Filler,Filler,,Text,46500,1087,1094,1087-1094,8,[V3.10.0]-New filler item to replace O0400C6,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
457,MDS,,,46700,O0400D2,RT_DAY_NUM,Respiratory therapy: number of days,16,O,Asmt,,Number,46700,1099,1099,1099-1099,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
458,MDS,,,70980,ITEM_FILLER_234,RT_MIN_NUM,Item filler: replaces old O0400D1,28,Filler,Filler,,Text,46600,1095,1098,1095-1098,4,[V3.10.0]-New filler item to replace O0400D1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
461,MDS,,,71000,ITEM_FILLER_236,PSYCH_THRPY_DAY_NUM,Item filler: replaces old O0400E2,28,Filler,Filler,,Text,47100,1104,1104,1104-1104,1,[V3.10.0]-New filler item to replace O0400E2,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
462,MDS,,,70990,ITEM_FILLER_235,PSYCH_THRPY_MIN_NUM,Item filler: replaces old O0400E1,28,Filler,Filler,,Text,47000,1100,1103,1100-1103,4,[V3.10.0]-New filler item to replace O0400E1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
465,MDS,,,71020,ITEM_FILLER_238,RCRTNL_THRPY_DAY_NUM,Item filler: replaces old O0400F2,28,Filler,Filler,,Text,47500,1109,1109,1109-1109,1,[V3.10.0]-New filler item to replace O0400F2,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
466,MDS,,,71010,ITEM_FILLER_237,RCRTNL_THRPY_MIN_NUM,Item filler: replaces old O0400F1,28,Filler,Filler,,Text,47400,1105,1108,1105-1108,4,[V3.10.0]-New filler item to replace O0400F1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
469,MDS,,,47800,O0500A,PSV_ROM_NUM,Range of motion (passive): number of days,16,O,Asmt,,Number,47800,1110,1110,1110-1110,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
470,MDS,,,47900,O0500B,ACTV_ROM_NUM,Range of motion (active): number of days,16,O,Asmt,,Number,47900,1111,1111,1111-1111,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
471,MDS,,,48000,O0500C,BRC_ASTNC_NUM,Splint or brace assistance: number of days,16,O,Asmt,,Number,48000,1112,1112,1112-1112,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
472,MDS,,,48100,O0500D,BED_MBLTY_TRNG_NUM,Bed mobility training: number of days,16,O,Asmt,,Number,48100,1113,1113,1113-1113,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
473,MDS,,,48200,O0500E,TRNSFR_TRNG_NUM,Transfer training: number of days,16,O,Asmt,,Number,48200,1114,1114,1114-1114,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
474,MDS,,,48300,O0500F,WLKG_TRNG_NUM,Walking training: number of days,16,O,Asmt,,Number,48300,1115,1115,1115-1115,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
475,MDS,,,48400,O0500G,DRSG_TRNG_NUM,Dressing and/or grooming training: number of days,16,O,Asmt,,Number,48400,1116,1116,1116-1116,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
476,MDS,,,48500,O0500H,EATG_TRNG_NUM,Eating and/or swallowing training: number of days,16,O,Asmt,,Number,48500,1117,1117,1117-1117,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
477,MDS,,,48600,O0500I,AMPUTTN_TRNG_NUM,Amputation/prosthesis training: number of days,16,O,Asmt,,Number,48600,1118,1118,1118-1118,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
478,MDS,,,48700,O0500J,COMMUN_TRNG_NUM,Communication training: number of days,16,O,Asmt,,Number,48700,1119,1119,1119-1119,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
479,MDS,,,70497,ITEM_FILLER_175,PHYSN_EXMN_NUM,Item filler: replaces old O0600,28,Filler,Filler,,Text,48800,1120,1121,1120-1121,2,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
480,MDS,,,70498,ITEM_FILLER_176,PHYSN_ORDR_NUM,Item filler: replaces old O0700,28,Filler,Filler,,Text,48900,1122,1123,1122-1123,2,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
481,MDS,,,49000,P0100A,BED_RAIL_CD,Restraints used in bed: bed rail,17,P,Asmt,,Code,49000,1124,1124,1124-1124,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
482,MDS,,,49100,P0100B,TRNK_RSTRNT_BED_CD,Restraints used in bed: trunk restraint,17,P,Asmt,,Code,49100,1125,1125,1125-1125,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
483,MDS,,,49200,P0100C,LMB_RSTRNT_BED_CD,Restraints used in bed: limb restraint,17,P,Asmt,,Code,49200,1126,1126,1126-1126,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
484,MDS,,,49300,P0100D,OTHR_RSTRNT_BED_CD,Restraints used in bed: other,17,P,Asmt,,Code,49300,1127,1127,1127-1127,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
485,MDS,,,49400,P0100E,TRNK_RSTRNT_CHR_CD,Restraints in chair/out of bed: trunk restraint,17,P,Asmt,,Code,49400,1128,1128,1128-1128,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
486,MDS,,,49500,P0100F,LMB_RSTRNT_CHR_CD,Restraints in chair/out of bed: limb restraint,17,P,Asmt,,Code,49500,1129,1129,1129-1129,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
487,MDS,,,49600,P0100G,CHR_PRVNT_RISE_CD,Restraints in chair/out of bed: chair stops rising,17,P,Asmt,,Code,49600,1130,1130,1130-1130,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
488,MDS,,,49700,P0100H,OTHR_RSTRNT_CHR_CD,Restraints in chair/out of bed: other,17,P,Asmt,,Code,49700,1131,1131,1131-1131,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
489,MDS,,,70500,ITEM_FILLER_177,RSDNT_PRTCPTN_CD,Item filler: replaces old Q0100A,28,Filler,Filler,,Text,49800,1132,1132,1132-1132,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
490,MDS,,,70501,ITEM_FILLER_178,FMLY_PRTCPTN_CD,Item filler: replaces old Q0100B,28,Filler,Filler,,Text,49900,1133,1133,1133-1133,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
491,MDS,,,70502,ITEM_FILLER_179,GRDN_PRTCPTN_CD,Item filler: replaces old Q0100C,28,Filler,Filler,,Text,50000,1134,1134,1134-1134,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
492,MDS,,,70503,ITEM_FILLER_180,RSDNT_GOAL_CD,Item filler: replaces old Q0300A,28,Filler,Filler,,Text,50100,1135,1135,1135-1135,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
493,MDS,,,70504,ITEM_FILLER_181,GOAL_SRC_CD,Item filler: replaces old Q0300B,28,Filler,Filler,,Text,50200,1136,1136,1136-1136,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
497,MDS,,,58400,Z0100A,MDCR_HIPPS_TXT,Medicare Part A: HIPPS code,27,Z,Asmt,,Text,58400,1344,1350,1344-1350,7,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
498,MDS,,,58600,Z0200A,STATE_RUG_GRP_TXT,State case mix: Group,27,Z,Asmt,,Text,58600,1379,1388,1379-1388,10,,,"NC,NQ,NP","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,,,,
500,MDS,,,59000,Z0500B,RN_SGN_CMPLT_DT,Date RN signed assessment as complete,27,Z,Asmt,,Date,59000,1419,1426,1419-1426,8,,,"NC,NQ,NP,ND,NPE,IPA,SP,SD","NT,ST,XX",,x,x,x,x,,x,x,x,x,,
501,MDS,,,36100,M0100B,RISK_FRML_ASMT_CD,Risk determination: formal assessment,14,M,Asmt,,Checklist,36100,894,894,894-894,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
502,MDS,,,36200,M0100C,RISK_CLNCL_JDGMNT_CD,Risk determination: clinical assessment,14,M,Asmt,,Checklist,36200,895,895,895-895,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
503,MDS,,,36300,M0100Z,NO_RISK_DTMNTN_CD,Risk determination: none of the above,14,M,Asmt,,Checklist,36300,896,896,896-896,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
504,MDS,,,2200,A0310E,FIRST_SINCE_ADMSN_CD,First assessment since most recent entry,02,A,Asmt,,Code,2200,276,276,276-276,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
506,MDS,,,58500,Z0100B,MDCR_RUG_VRSN_TXT,Medicare Part A: Version code,27,Z,Asmt,,Text,58500,1351,1360,1351-1360,10,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
507,MDS,,,58700,Z0200B,STATE_RUG_VRSN_TXT,State case mix: Version code,27,Z,Asmt,,Text,58700,1389,1398,1389-1398,10,,,"NC,NQ,NP","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,,,,
510,MDS,,,40100,M1040D,OPEN_LSN_CD,"Other skin probs: lesions not ulcers, rashes, cuts",14,M,Asmt,,Checklist,40100,944,944,944-944,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
511,MDS,,,24700,I0800,HYPOTNSN_CD,Orthostatic hypotension,10,I,Asmt,,Checklist,24700,701,701,701-701,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
512,MDS,,,29700,I8000G,ICD_7_CD,Additional active ICD diagnosis 7,10,I,Asmt,,ICD,29700,799,806,799-806,8,,,"NC,NQ,NP,ND,IPA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,,
513,MDS,,,29800,I8000H,ICD_8_CD,Additional active ICD diagnosis 8,10,I,Asmt,,ICD,29800,807,814,807-814,8,,,"NC,NQ,NP,ND,IPA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,,
514,MDS,,,29900,I8000I,ICD_9_CD,Additional active ICD diagnosis 9,10,I,Asmt,,ICD,29900,815,822,815-822,8,,,"NC,NQ,NP,ND,IPA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,,
515,MDS,,,30000,I8000J,ICD_10_CD,Additional active ICD diagnosis 10,10,I,Asmt,,ICD,30000,823,830,823-830,8,,,"NC,NQ,NP,ND,IPA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,,
516,MDS,,,5300,A1550A,DOWN_SYNDRM_CD,ID/DD status: Down syndrome,02,A,Asmt,,Checklist,5300,451,451,451-451,1,,,NC,"NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,x,,,,,,,,,,
