itm_id,val_id,val_txt
J1900C,^,Blank (skip pattern)
K0100A,0,Not checked (No)
K0100A,1,Checked (Yes)
K0100A,-,Not assessed/no information
K0100B,0,Not checked (No)
K0100B,1,Checked (Yes)
K0100B,-,Not assessed/no information
K0100C,0,Not checked (No)
K0100C,1,Checked (Yes)
K0100C,-,Not assessed/no information
K0100D,0,Not checked (No)
K0100D,1,Checked (Yes)
K0100D,-,Not assessed/no information
K0100Z,0,Not checked (No)
K0100Z,1,Checked (Yes)
K0100Z,-,Not assessed/no information
K0200A,00,Minimum value
K0200A,99,Maximum value
K0200A,-,Not assessed/no information
K0200B,000,Minimum value
K0200B,999,Maximum value
K0200B,-,Not assessed/no information
K0300,0,No or unknown
K0300,1,"Yes, on physician-prescribed weight-loss regimen"
K0300,2,"Yes, not on physician-prescribed weight-loss regimen"
K0300,-,Not assessed/no information
L0200A,0,Not checked (No)
L0200A,1,Checked (Yes)
L0200A,-,Not assessed/no information
L0200B,0,Not checked (No)
L0200B,1,Checked (Yes)
L0200B,-,Not assessed/no information
L0200C,0,Not checked (No)
L0200C,1,Checked (Yes)
L0200C,-,Not assessed/no information
L0200D,0,Not checked (No)
L0200D,1,Checked (Yes)
L0200D,-,Not assessed/no information
L0200E,0,Not checked (No)
L0200E,1,Checked (Yes)
L0200E,-,Not assessed/no information
L0200F,0,Not checked (No)
L0200F,1,Checked (Yes)
L0200F,-,Not assessed/no information
L0200Z,0,Not checked (No)
L0200Z,1,Checked (Yes)
L0200Z,-,Not assessed/no information
M0100A,0,Not checked (No)
M0100A,1,Checked (Yes)
M0100A,-,Not assessed/no information
M0150,0,No
M0150,1,Yes
M0150,-,Not assessed/no information
M0210,0,No
M0210,1,Yes
M0210,-,Not assessed/no information
M0300A,0,Minimum value
M0300A,9,Maximum value
M0300A,-,Not assessed/no information
M0300B1,0,Minimum value
M0300B1,9,Maximum value
M0300B1,-,Not assessed/no information
M0300B2,0,Minimum value
M0300B2,9,Maximum value
M0300B2,-,Not assessed/no information
M0300C1,0,Minimum value
M0300C1,9,Maximum value
M0300C1,-,Not assessed/no information
M0300C2,0,Minimum value
M0300C2,9,Maximum value
M0300C2,-,Not assessed/no information
M0300D1,0,Minimum value
M0300D1,9,Maximum value
M0300D1,-,Not assessed/no information
M0300D2,0,Minimum value
M0300D2,9,Maximum value
M0300D2,-,Not assessed/no information
M0300E1,0,Minimum value
M0300E1,9,Maximum value
M0300E1,-,Not assessed/no information
M0300E2,0,Minimum value
M0300E2,9,Maximum value
M0300E2,-,Not assessed/no information
M0300F1,0,Minimum value
M0300F1,9,Maximum value
M0300F1,-,Not assessed/no information
M0300F2,0,Minimum value
M0300F2,9,Maximum value
M0300F2,-,Not assessed/no information
M0300G1,0,Minimum value
M0300G1,9,Maximum value
M0300G1,-,Not assessed/no information
M0300G2,0,Minimum value
M0300G2,9,Maximum value
M0300G2,-,Not assessed/no information
M1040A,0,Not checked (No)
M1040A,1,Checked (Yes)
M1040A,-,Not assessed/no information
M1040B,0,Not checked (No)
M1040B,1,Checked (Yes)
M1040B,-,Not assessed/no information
M1040C,0,Not checked (No)
M1040C,1,Checked (Yes)
M1040C,-,Not assessed/no information
M1040E,0,Not checked (No)
M1040E,1,Checked (Yes)
M1040E,-,Not assessed/no information
M1040F,0,Not checked (No)
M1040F,1,Checked (Yes)
M1040F,-,Not assessed/no information
M1040Z,0,Not checked (No)
M1040Z,1,Checked (Yes)
M1040Z,-,Not assessed/no information
M1030,0,Minimum value
M1030,9,Maximum value
M1030,-,Not assessed/no information
M1200A,0,Not checked (No)
M1200A,1,Checked (Yes)
M1200A,-,Not assessed/no information
M1200B,0,Not checked (No)
M1200B,1,Checked (Yes)
M1200B,-,Not assessed/no information
M1200C,0,Not checked (No)
M1200C,1,Checked (Yes)
M1200C,-,Not assessed/no information
M1200D,0,Not checked (No)
M1200D,1,Checked (Yes)
M1200D,-,Not assessed/no information
M1200E,0,Not checked (No)
M1200E,1,Checked (Yes)
M1200E,-,Not assessed/no information
M1200F,0,Not checked (No)
M1200F,1,Checked (Yes)
M1200F,-,Not assessed/no information
M1200G,0,Not checked (No)
M1200G,1,Checked (Yes)
M1200G,-,Not assessed/no information
M1200H,0,Not checked (No)
M1200H,1,Checked (Yes)
M1200H,-,Not assessed/no information
M1200I,0,Not checked (No)
M1200I,1,Checked (Yes)
M1200I,-,Not assessed/no information
M1200Z,0,Not checked (No)
M1200Z,1,Checked (Yes)
M1200Z,-,Not assessed/no information
N0300,0,Minimum value
N0300,7,Maximum value
N0300,-,Not assessed/no information
O0250A,0,No
O0250A,1,Yes
O0250A,-,Not assessed/no information
O0250C,1,Resident not in this facility during this year's influenza vaccination season
O0250C,2,Received outside of this facility
O0250C,3,Not eligible - medical contraindication
O0250C,4,Offered and declined
O0250C,5,Not offered
O0250C,6,Inability to obtain influenza vaccine due to a declared shortage
O0250C,9,None of the above
O0250C,-,Not assessed/no information
O0250C,^,Blank (skip pattern)
O0300A,0,No
O0300A,1,Yes
O0300A,-,Not assessed/no information
O0300B,1,Not eligible - medical contraindication
O0300B,2,Offered and declined
O0300B,3,Not offered
O0300B,-,Not assessed/no information
O0300B,^,Blank (skip pattern)
O0400D2,0,Minimum value
O0400D2,7,Maximum value
O0400D2,-,Not assessed/no information
O0400D2,^,Blank (skip pattern)
O0500A,0,Minimum value
O0500A,7,Maximum value
O0500A,-,Not assessed/no information
O0500B,0,Minimum value
O0500B,7,Maximum value
O0500B,-,Not assessed/no information
O0500C,0,Minimum value
O0500C,7,Maximum value
O0500C,-,Not assessed/no information
O0500D,0,Minimum value
O0500D,7,Maximum value
O0500D,-,Not assessed/no information
O0500E,0,Minimum value
O0500E,7,Maximum value
O0500E,-,Not assessed/no information
O0500F,0,Minimum value
O0500F,7,Maximum value
O0500F,-,Not assessed/no information
O0500G,0,Minimum value
O0500G,7,Maximum value
O0500G,-,Not assessed/no information
O0500H,0,Minimum value
O0500H,7,Maximum value
O0500H,-,Not assessed/no information
O0500I,0,Minimum value
O0500I,7,Maximum value
O0500I,-,Not assessed/no information
O0500J,0,Minimum value
O0500J,7,Maximum value
O0500J,-,Not assessed/no information
P0100A,0,Not used
P0100A,1,Used less than daily
P0100A,2,Used daily
P0100A,-,Not assessed/no information
P0100B,0,Not used
P0100B,1,Used less than daily
P0100B,2,Used daily
P0100B,-,Not assessed/no information
P0100C,0,Not used
P0100C,1,Used less than daily
P0100C,2,Used daily
P0100C,-,Not assessed/no information
P0100D,0,Not used
P0100D,1,Used less than daily
P0100D,2,Used daily
P0100D,-,Not assessed/no information
P0100E,0,Not used
P0100E,1,Used less than daily
P0100E,2,Used daily
P0100E,-,Not assessed/no information
P0100F,0,Not used
P0100F,1,Used less than daily
P0100F,2,Used daily
P0100F,-,Not assessed/no information
P0100G,0,Not used
P0100G,1,Used less than daily
P0100G,2,Used daily
P0100G,-,Not assessed/no information
P0100H,0,Not used
P0100H,1,Used less than daily
P0100H,2,Used daily
P0100H,-,Not assessed/no information
Z0100A,Text,Medicare Part A HIPPS code
Z0100A,^,Blank (not available or unknown)
Z0200A,Text,State Case Mix Group
Z0200A,^,Blank (not available or unknown)
Z0500B,YYYYMMDD,Signature date
M0100B,0,Not checked (No)
M0100B,1,Checked (Yes)
M0100B,-,Not assessed/no information
M0100C,0,Not checked (No)
M0100C,1,Checked (Yes)
M0100C,-,Not assessed/no information
M0100Z,0,Not checked (No)
M0100Z,1,Checked (Yes)
M0100Z,-,Not assessed/no information
A0310E,0,No
A0310E,1,Yes
Z0100B,Text,Valid HIPPS version code
Z0100B,^,Blank (not available or unknown)
Z0200B,Text,Valid case mix version code
Z0200B,^,Blank (not available or unknown)
M1040D,0,Not checked (No)
M1040D,1,Checked (Yes)
M1040D,-,Not assessed/no information
I0800,0,Not checked (No)
I0800,1,Checked (Yes)
I0800,-,Not assessed/no information
I8000G,ICD-10,ICD-10 code
I8000G,^,Blank (no diagnosis code)
I8000H,ICD-10,ICD-10 code
I8000H,^,Blank (no diagnosis code)
I8000I,ICD-10,ICD-10 code
I8000I,^,Blank (no diagnosis code)
I8000J,ICD-10,ICD-10 code
I8000J,^,Blank (no diagnosis code)
M0300B1,^,Blank (skip pattern)
M0300B2,^,Blank (skip pattern)
M0300C1,^,Blank (skip pattern)
M0300C2,^,Blank (skip pattern)
M0300D1,^,Blank (skip pattern)
M0300D2,^,Blank (skip pattern)
M0300E1,^,Blank (skip pattern)
M0300E2,^,Blank (skip pattern)
M0300F1,^,Blank (skip pattern)
M0300F2,^,Blank (skip pattern)
M0300G1,^,Blank (skip pattern)
M0300G2,^,Blank (skip pattern)
A1550A,0,Not checked (No)
A1550A,1,Checked (Yes)
A1550A,-,Not assessed/no information
A1550B,0,Not checked (No)
A1550B,1,Checked (Yes)
A1550B,-,Not assessed/no information
A1550C,0,Not checked (No)
A1550C,1,Checked (Yes)
A1550C,-,Not assessed/no information
A1550D,0,Not checked (No)
A1550D,1,Checked (Yes)
A1550D,-,Not assessed/no information
A1550E,0,Not checked (No)
A1550E,1,Checked (Yes)
A1550E,-,Not assessed/no information
A1550Z,0,Not checked (No)
A1550Z,1,Checked (Yes)
A1550Z,-,Not assessed/no information
SFTWR_VNDR_NAME,Text,Software vendor company name
FAC_DOC_ID,^,Blank (not available or unknown)
SFTWR_PROD_VRSN_CD,^,Blank (not available or unknown)
SFTWR_PROD_NAME,^,Blank (not available or unknown)
SFTWR_VNDR_EMAIL_ADR,^,Blank (not available or unknown)
SFTWR_VNDR_NAME,^,Blank (not available or unknown)
SFTWR_VNDR_ID,^,Blank (not available or unknown)
STATE_CD,AK,Alaska
STATE_CD,AZ,Arizona
STATE_CD,AR,Arkansas
STATE_CD,CA,California
STATE_CD,CO,Colorado
STATE_CD,CT,Connecticut
STATE_CD,DE,Delaware
STATE_CD,DC,District of Columbia
STATE_CD,FL,Florida
STATE_CD,GA,Georgia
STATE_CD,HI,Hawaii
STATE_CD,ID,Idaho
STATE_CD,IL,Illinois
STATE_CD,IN,Indiana
STATE_CD,IA,Iowa
STATE_CD,KS,Kansas
STATE_CD,KY,Kentucky
STATE_CD,LA,Louisiana
STATE_CD,ME,Maine
STATE_CD,MD,Maryland
STATE_CD,MA,Massachusetts
STATE_CD,MI,Michigan
STATE_CD,MN,Minnesota
STATE_CD,MS,Mississippi
STATE_CD,MO,Missouri
STATE_CD,MT,Montana
STATE_CD,NE,Nebraska
STATE_CD,NV,Nevada
STATE_CD,NH,New Hampshire
STATE_CD,NJ,New Jersey
STATE_CD,NM,New Mexico
STATE_CD,NY,New York
STATE_CD,NC,North Carolina
STATE_CD,ND,North Dakota
STATE_CD,OH,Ohio
STATE_CD,OK,Oklahoma
STATE_CD,OR,Oregon
STATE_CD,PA,Pennsylvania
STATE_CD,PR,Puerto Rico
STATE_CD,RI,Rhode Island
STATE_CD,SC,South Carolina
STATE_CD,SD,South Dakota
STATE_CD,TN,Tennessee
STATE_CD,TX,Texas
STATE_CD,UT,Utah
STATE_CD,VT,Vermont
STATE_CD,VA,Virginia
STATE_CD,VI,Virgin Islands
STATE_CD,WA,Washington
STATE_CD,WV,West Virginia
STATE_CD,WI,Wisconsin
STATE_CD,WY,Wyoming
A0410,1,Unit is not Medicare nor Medicaid certified and MDS data is not required by the State.
A0310F,01,Entry tracking record
A0310F,10,Discharge assessment - return not anticipated
V0100A,01,Admission assessment (required by day 14)
V0100A,02,Quarterly review assessment
V0100A,03,Annual assessment
V0100A,04,Significant change in status assessment
V0100A,05,Significant correction to prior comprehensive assessment
V0100A,06,Significant correction to prior quarterly assessment
V0100A,99,None of the above
V0100B,01,5-day scheduled assessment
V0100C,YYYYMMDD,Prior assessment reference date (A2300 value from prior assessment)
V0100D,00,Minimum value
V0100D,15,Maximum value
V0100D,99,Unable to complete interview
V0100D,-,Not assessed/no information
V0100D,^,Blank (skip pattern)
V0100E,00,Minimum value
V0100E,27,Maximum value
V0100E,99,Unable to complete interview
V0100E,-,Not assessed/no information
V0100E,^,Blank (skip pattern)
V0100F,00,Minimum value
V0100F,30,Maximum value
V0100F,-,Not assessed/no information
V0100F,^,Blank (skip pattern)
V0200A01A,0,Not checked (No)
V0200A01A,1,Checked (Yes)
V0200A01B,0,Not checked (No)
V0200A01B,1,Checked (Yes)
V0200A01B,-,Not assessed/no information
V0200A02A,0,Not checked (No)
V0200A02A,1,Checked (Yes)
V0200A02B,0,Not checked (No)
V0200A02B,1,Checked (Yes)
V0200A02B,-,Not assessed/no information
V0200A03A,0,Not checked (No)
V0200A03A,1,Checked (Yes)
V0200A03B,0,Not checked (No)
V0200A03B,1,Checked (Yes)
V0200A03B,-,Not assessed/no information
V0200A04A,0,Not checked (No)
V0200A04A,1,Checked (Yes)
V0200A04B,0,Not checked (No)
V0200A04B,1,Checked (Yes)
V0200A04B,-,Not assessed/no information
V0200A05A,0,Not checked (No)
V0200A05A,1,Checked (Yes)
V0200A05B,0,Not checked (No)
V0200A05B,1,Checked (Yes)
V0200A05B,-,Not assessed/no information
V0200A06A,0,Not checked (No)
V0200A06A,1,Checked (Yes)
V0200A06B,0,Not checked (No)
V0200A06B,1,Checked (Yes)
V0200A06B,-,Not assessed/no information
V0200A07A,0,Not checked (No)
V0200A07A,1,Checked (Yes)
V0200A07B,0,Not checked (No)
V0200A07B,1,Checked (Yes)
V0200A07B,-,Not assessed/no information
V0200A08A,0,Not checked (No)
V0200A08A,1,Checked (Yes)
V0200A08B,0,Not checked (No)
V0200A08B,1,Checked (Yes)
V0200A08B,-,Not assessed/no information
V0200A09A,0,Not checked (No)
V0200A09A,1,Checked (Yes)
V0200A09B,0,Not checked (No)
V0200A09B,1,Checked (Yes)
V0200A09B,-,Not assessed/no information
V0200A10A,0,Not checked (No)
V0200A10A,1,Checked (Yes)
V0200A10B,0,Not checked (No)
V0200A10B,1,Checked (Yes)
V0200A10B,-,Not assessed/no information
V0200A11A,0,Not checked (No)
V0200A11A,1,Checked (Yes)
V0200A11B,0,Not checked (No)
V0200A11B,1,Checked (Yes)
V0200A11B,-,Not assessed/no information
V0200A12B,0,Not checked (No)
V0200A12B,1,Checked (Yes)
V0200A12B,-,Not assessed/no information
V0200A13A,0,Not checked (No)
V0200A13A,1,Checked (Yes)
V0200A13B,0,Not checked (No)
V0200A13B,1,Checked (Yes)
V0200A13B,-,Not assessed/no information
V0200A14A,0,Not checked (No)
V0200A14A,1,Checked (Yes)
V0200A14B,0,Not checked (No)
V0200A14B,1,Checked (Yes)
V0200A14B,-,Not assessed/no information
V0200A15A,0,Not checked (No)
V0200A15A,1,Checked (Yes)
V0200A15B,0,Not checked (No)
V0200A15B,1,Checked (Yes)
V0200A15B,-,Not assessed/no information
V0200A16A,0,Not checked (No)
V0200A16A,1,Checked (Yes)
V0200A16B,0,Not checked (No)
V0200A16B,1,Checked (Yes)
V0200A16B,-,Not assessed/no information
V0200A17A,0,Not checked (No)
V0200A17A,1,Checked (Yes)
V0200A17B,0,Not checked (No)
V0200A17B,1,Checked (Yes)
V0200A17B,-,Not assessed/no information
V0200A18A,0,Not checked (No)
V0200A18A,1,Checked (Yes)
V0200A18B,0,Not checked (No)
V0200A18B,1,Checked (Yes)
V0200A18B,-,Not assessed/no information
V0200A19A,0,Not checked (No)
V0200A19A,1,Checked (Yes)
V0200A19B,0,Not checked (No)
V0200A19B,1,Checked (Yes)
V0200A19B,-,Not assessed/no information
V0200A20A,0,Not checked (No)
V0200A20A,1,Checked (Yes)
V0200A20B,0,Not checked (No)
V0200A20B,1,Checked (Yes)
V0200A20B,-,Not assessed/no information
V0100A,^,Blank (skip pattern)
V0100B,^,Blank (skip pattern)
V0100C,^,Blank (skip pattern)
V0200B2,YYYYMMDD,RN coordinator for RAP assessment process: Date signed
V0200C2,YYYYMMDD,Person completing care planning decision: date signed
X0200A,Text,Resident first name
X0200A,^,"Blank (skip pattern, not available, or unknown)"
X0200C,Text,Resident last name
X0200C,^,Blank (skip pattern)
X0400,YYYYMMDD,Resident birthdate
X0400,YYYYMM,Resident birthdate (if day of month is unknown)
X0400,YYYY,Resident birthdate (if month and day unknown)
X0400,^,Blank (skip pattern)
X0500,Text,Resident social security number
X0500,^,"Blank (skip pattern, not available, or unknown)"
X0600A,01,Admission assessment (required by day 14)
X0600A,02,Quarterly review assessment
X0600A,03,Annual assessment
X0600A,04,Significant change in status assessment
X0600A,05,Significant correction to prior comprehensive assessment
X0600A,06,Significant correction to prior quarterly assessment
X0600A,99,None of the above
X0600B,01,5-day scheduled assessment
X0600A,^,Blank (skip pattern)
X0600B,^,Blank (skip pattern)
X0700A,YYYYMMDD,Assessment reference date
X0700A,^,Blank (skip pattern)
X0700B,YYYYMMDD,Discharge date
X0700B,^,Blank (skip pattern)
X0700C,YYYYMMDD,Entry date
X0700C,^,Blank (skip pattern)
X0800,01,Minimum value
X0800,99,Maximum value
X0800,^,Blank (skip pattern)
X0900A,0,Not checked (No)
X0900A,1,Checked (Yes)
X0900A,^,Blank (skip pattern)
X0900B,0,Not checked (No)
X0900B,1,Checked (Yes)
X0900B,^,Blank (skip pattern)
X0900C,0,Not checked (No)
X0900C,1,Checked (Yes)
X0900C,^,Blank (skip pattern)
X0900D,0,Not checked (No)
X0900D,1,Checked (Yes)
X0900D,^,Blank (skip pattern)
X0900Z,0,Not checked (No)
X0900Z,1,Checked (Yes)
X0900Z,^,Blank (skip pattern)
X1050A,0,Not checked (No)
X1050A,1,Checked (Yes)
X1050A,^,Blank (skip pattern)
X1050Z,0,Not checked (No)
X1050Z,1,Checked (Yes)
X1050Z,^,Blank (skip pattern)
X1100A,Text,Attesting individual's first name
X1100A,^,Blank (skip pattern)
X1100B,Text,Attesting individual's last name
X1100B,^,Blank (skip pattern)
X1100E,YYYYMMDD,Attestation date
X1100E,^,Blank (skip pattern)
L0200G,0,Not checked (No)
L0200G,1,Checked (Yes)
L0200G,-,Not assessed/no information
I2500,0,Not checked (No)
I2500,1,Checked (Yes)
I2500,-,Not assessed/no information
J0850,1,Indicators of pain or possible pain observed 1 to 2 days
J0850,2,Indicators of pain or possible pain observed 3 to 4 days
J0850,-,Not assessed/no information
J0850,^,Blank (skip pattern)
M0300A,^,Blank (skip pattern)
N0350A,0,Minimum value
N0350A,7,Maximum value
N0350A,-,Not assessed/no information
N0350B,0,Minimum value
N0350B,7,Maximum value
N0350B,-,Not assessed/no information
I5250,0,Not checked (No)
I5350,0,Not checked (No)
I5950,0,Not checked (No)
I5250,1,Checked (Yes)
I5350,1,Checked (Yes)
I5950,1,Checked (Yes)
I5250,-,Not assessed/no information
I5350,-,Not assessed/no information
I5950,-,Not assessed/no information
I1550,0,Not checked (No)
I1650,0,Not checked (No)
I1550,1,Checked (Yes)
I1650,1,Checked (Yes)
I1550,-,Not assessed/no information
I1650,-,Not assessed/no information
O0250B,YYYYMMDD,Date vaccine received
O0250B,-,Not assessed/no information
O0250B,^,Blank (skip pattern)
N0350A,^,Blank (skip pattern)
N0350B,^,Blank (skip pattern)
V0200A12A,0,Not checked (No)
V0200A12A,1,Checked (Yes)
X0600B,99,None of the above
Q0400A,0,No
Q0400A,1,Yes
Q0400A,-,Not assessed/no information
Q0500B,0,No
Q0500B,1,Yes
Q0500B,9,Unknown or uncertain
Q0500B,-,Not assessed/no information
Q0500B,^,Blank (skip pattern)
J0700,0,No (J0400=1 thru 4)
J0700,1,Yes (J0200=0 or J0300=9 or J0400=9)
ITM_SBST_CD,NQ,Nursing home quarterly assessment
ITM_SBST_CD,NP,Nursing home PPS assessment
ITM_SBST_CD,ND,Nursing home discharge assessment
ITM_SBST_CD,NT,Nursing home tracking record (entry/death record)
ITM_SBST_CD,SP,Swing bed PPS assessment
ITM_SBST_CD,SD,Swing bed discharge assessment
ITM_SBST_CD,ST,Swing bed tracking record (entry/death record)
J0700,-,Not assessed/no information
J0700,^,Blank (skip pattern)
J0850,3,Indicators of possible pain observed daily
A0310F,11,Discharge assessment - return anticipated
A0310F,12,Death in facility tracking record
A0310F,99,None of the above
F0400A,5,"Important, but can't do or no choice"
F0400A,9,No response or non-responsive
F0400B,1,Very important
F0400B,2,Somewhat important
F0400B,3,Not very important
F0400B,4,Not important at all
F0400B,5,"Important, but can't do or no choice"
F0400B,9,No response or non-responsive
F0400B,-,Not assessed/no information
F0400B,^,Blank (skip pattern)
F0400C,1,Very important
F0400C,2,Somewhat important
F0400C,3,Not very important
F0400C,4,Not important at all
F0400C,5,"Important, but can't do or no choice"
F0400C,9,No response or non-responsive
F0400C,-,Not assessed/no information
F0400C,^,Blank (skip pattern)
F0400D,1,Very important
F0400D,2,Somewhat important
F0400D,3,Not very important
F0400D,4,Not important at all
F0400D,5,"Important, but can't do or no choice"
F0400D,9,No response or non-responsive
F0400D,-,Not assessed/no information
F0400D,^,Blank (skip pattern)
F0400E,1,Very important
F0400E,2,Somewhat important
F0400E,3,Not very important
F0400E,4,Not important at all
F0400E,5,"Important, but can't do or no choice"
F0400E,9,No response or non-responsive
F0400E,-,Not assessed/no information
F0400E,^,Blank (skip pattern)
F0400F,1,Very important
F0400F,2,Somewhat important
F0400F,3,Not very important
F0400F,4,Not important at all
F0400F,5,"Important, but can't do or no choice"
F0400F,9,No response or non-responsive
F0400F,-,Not assessed/no information
F0400F,^,Blank (skip pattern)
F0400G,1,Very important
F0400G,2,Somewhat important
F0400G,3,Not very important
F0400G,4,Not important at all
F0400G,5,"Important, but can't do or no choice"
F0400G,9,No response or non-responsive
F0400G,-,Not assessed/no information
F0400G,^,Blank (skip pattern)
F0400H,1,Very important
F0400H,2,Somewhat important
F0400H,3,Not very important
F0400H,4,Not important at all
F0400H,5,"Important, but can't do or no choice"
F0400H,9,No response or non-responsive
F0400H,-,Not assessed/no information
F0400H,^,Blank (skip pattern)
F0500A,1,Very important
F0500A,2,Somewhat important
F0500A,3,Not very important
F0500A,4,Not important at all
F0500A,5,"Important, but can't do or no choice"
F0500A,9,No response or non-responsive
F0500A,-,Not assessed/no information
F0500A,^,Blank (skip pattern)
F0500B,1,Very important
F0500B,2,Somewhat important
F0500B,3,Not very important
F0500B,4,Not important at all
F0500B,5,"Important, but can't do or no choice"
F0500B,9,No response or non-responsive
F0500B,-,Not assessed/no information
F0500B,^,Blank (skip pattern)
F0500C,1,Very important
F0500C,2,Somewhat important
F0500C,3,Not very important
F0500C,4,Not important at all
F0500C,5,"Important, but can't do or no choice"
F0500C,9,No response or non-responsive
F0500C,-,Not assessed/no information
F0500C,^,Blank (skip pattern)
F0500D,1,Very important
F0500D,2,Somewhat important
F0500D,3,Not very important
F0500D,4,Not important at all
F0500D,5,"Important, but can't do or no choice"
F0500D,9,No response or non-responsive
F0500D,-,Not assessed/no information
F0500D,^,Blank (skip pattern)
F0500E,1,Very important
F0500E,2,Somewhat important
F0500E,3,Not very important
F0500E,4,Not important at all
F0500E,5,"Important, but can't do or no choice"
F0500E,9,No response or non-responsive
F0500E,-,Not assessed/no information
F0500E,^,Blank (skip pattern)
F0500F,1,Very important
F0500F,2,Somewhat important
F0500F,3,Not very important
F0500F,4,Not important at all
F0500F,5,"Important, but can't do or no choice"
F0500F,9,No response or non-responsive
F0500F,-,Not assessed/no information
F0500F,^,Blank (skip pattern)
F0500G,1,Very important
F0500G,2,Somewhat important
F0500G,3,Not very important
F0500G,4,Not important at all
F0500G,5,"Important, but can't do or no choice"
F0500G,9,No response or non-responsive
F0500G,-,Not assessed/no information
F0500G,^,Blank (skip pattern)
F0500H,1,Very important
F0500H,2,Somewhat important
F0500H,3,Not very important
F0500H,4,Not important at all
F0500H,5,"Important, but can't do or no choice"
F0500H,9,No response or non-responsive
F0500H,-,Not assessed/no information
F0500H,^,Blank (skip pattern)
I6300,0,Not checked (No)
I6300,1,Checked (Yes)
I6300,-,Not assessed/no information
V0100B,99,None of the above
X0600F,01,Entry tracking record
X0600F,10,Discharge assessment-return not anticipated
X0600F,11,Discharge assessment-return anticipated
X0600F,12,Death in facility tracking
,,
X0600F,99,None of the above
X0600F,^,Blank (skip pattern)
Z0250A,Text,Alternate State Case Mix Group
Z0250A,^,Blank (not available or unknown)
Z0250B,Text,Valid version code
Z0250B,^,Blank (not available or unknown)
A1500,^,Blank (skip pattern)
A1550A,^,Blank (skip pattern)
A1550B,^,Blank (skip pattern)
A1550C,^,Blank (skip pattern)
A1550D,^,Blank (skip pattern)
A1550E,^,Blank (skip pattern)
A1550Z,^,Blank (skip pattern)
A2000,^,Blank (skip pattern)
ITM_SBST_CD,XX,Inactivation record (nursing home or swing bed)
X0150,1,Nursing home (SNF/NF)
X0150,2,Swing bed
DATA_END_INDICATOR,%,Percent sign
CR,ASCII 013,Carriage return character (ASCII 013)
LF,ASCII 010,Line feed character (ASCII 010)
S1100A,0,Not checked (No)
S1100A,1,Checked (Yes)
S1100B,0,Not checked (No)
S1100B,1,Checked (Yes)
S1100C,0,Not checked (No)
S1100C,1,Checked (Yes)
S1100D,0,Not checked (No)
S1100D,1,Checked (Yes)
S1100E,0,Not checked (No)
S1100E,1,Checked (Yes)
S1100F,0,Not checked (No)
S1100F,1,Checked (Yes)
S1100G,0,Not checked (No)
S1100G,1,Checked (Yes)
S1100H,0,Not checked (No)
S1100H,1,Checked (Yes)
S1100I,0,Not checked (No)
S1100I,1,Checked (Yes)
S1100Z,0,Not checked (No)
S1100Z,1,Checked (Yes)
S0101,1,Community with no home care
S0101,2,Community with Medicare certified home health agency care
S0101,3,Community with other home care
S0102,1,Chronic and Convalescent Nursing Home (CCNH)
S0102,2,Rest Home with Nursing Supervision (RHNS)
S0102,^,Blank (skip pattern)
S0111,0,No
S0111,1,Yes
S0111,2,In other facility
S0115,2,"In a dwelling the resident and/or spouse owns (i.e., homestead property)"
S0115,3,Other / Unknown living arrangement
S0122,AL,Alabama
S0122,AK,Alaska
S0122,AZ,Arizona
S0122,AR,Arkansas
S0122,CA,California
S0122,CO,Colorado
S0122,CT,Connecticut
S0122,DE,Delaware
S0122,DC,District of Columbia
S0122,FL,Florida
S0122,GA,Georgia
S0122,HI,Hawaii
S0122,ID,Idaho
S0122,IL,Illinois
S0122,IN,Indiana
S0122,IA,Iowa
S0122,KS,Kansas
S0122,KY,Kentucky
S0122,LA,Louisiana
S0122,ME,Maine
S0122,MD,Maryland
S0122,MA,Massachusetts
S0122,MI,Michigan
S0122,MN,Minnesota
S0122,MS,Mississippi
S0122,MO,Missouri
S0122,MT,Montana
S0122,NE,Nebraska
S0122,NV,Nevada
S0122,NH,New Hampshire
S0122,NJ,New Jersey
S0122,NM,New Mexico
S0122,NY,New York
S0122,NC,North Carolina
S0122,ND,North Dakota
S0122,OH,Ohio
S0122,OK,Oklahoma
S0122,OR,Oregon
S0122,PA,Pennsylvania
S0122,PR,Puerto Rico
S0122,RI,Rhode Island
S0122,SC,South Carolina
S0122,SD,South Dakota
S0122,TN,Tennessee
S0122,TX,Texas
S0122,UT,Utah
S0122,VT,Vermont
S0122,VA,Virginia
S0122,VI,Virgin Islands
S0122,WA,Washington
S0122,WV,West Virginia
S0122,WI,Wisconsin
S0122,WY,Wyoming
S0130,1,No Schooling
S0130,2,8th grade/less
S0130,3,Some high school
S0130,4,High school graduate/GED
S0130,5,Technical or trade school
S0130,6,Some college/Associate's degree
S0130,7,Bachelor's degree
S0130,8,Graduate degree
S0140,Text,Physician License Number
S0141,Text,Physician Last Name
S0150,Text,State Resident Identifier
S0180,1,Community with no home care
S0180,2,Community with Medicare certified home health agency care
S0180,3,Community with other home care
S0500,01,ISN
S0500,02,SNF
S0500,03,ICF-1
S0500,04,ICF-2
S0500,05,ICF-3
S0500,06,ICF-4
S0500,07,DD 1A
S0500,08,DD 1B
S0500,09,DD 2
S0500,10,DD 3
S0500,11,Traumatic Brain Injury
S0500,12,Ventilator Dependent
S0501,1,Chronic and Convalescent Nursing Home (CCNH)
